config,num_shards,num_client_nodes,num_node_threads,num_txns,thruput,lat_avg,lat_med,lat_99,energy_j
fpga_cluster,2,1,32,904549,90454.9,349.4612585940618,336,725,255.04999700000002
fpga_cluster,2,1,64,951734,95173.4,667.8520941775748,648,1272,256.01343800000006
fpga_cluster,2,2,1,266064,26606.4,69.99631291719285,74,146,255.770618
fpga_cluster,2,2,2,505228,50522.8,75.05931183544855,69,183,255.635043
fpga_cluster,2,2,4,680947,68094.7,113.075071921897,98,289,256.74862200000007
fpga_cluster,2,2,6,763878,76387.8,152.47087885761863,134,441,255.54948199999995
fpga_cluster,2,2,8,830340,83034.0,188.123504829347,181,432,255.473189
fpga_cluster,2,2,10,825008,82500.8,237.69164177801912,228,528,252.65216600000002
fpga_cluster,2,2,12,834564,83456.4,282.7343223527495,269,634,255.56933500000002
fpga_cluster,2,2,16,880620,88062.0,358.21359156049147,346,746,255.998779
fpga_cluster,2,2,24,928346,92834.6,511.10937193675636,494,1014,254.980036
fpga_cluster,2,2,32,955051,95505.1,663.3194708973657,645,1261,255.677915
fpga_cluster,2,2,64,991938,99193.8,1282.4465107698263,1271,2349,255.54217200000002
fpga_cluster,3,1,1,139846,13984.6,66.51870629120604,75,124,256.03059599999995
fpga_cluster,3,1,2,298261,29826.1,63.1560076577226,54,130,255.92075700000004
fpga_cluster,3,1,4,540393,54039.3,70.80599304580186,57,195,255.849023
fpga_cluster,3,1,6,660874,66087.4,87.65063839703181,72,265,256.004272
fpga_cluster,3,1,8,735128,73512.8,105.66548818709123,86,343,255.31951399999997
fpga_cluster,3,1,10,840396,84039.6,115.95381701007621,96,348,255.804553
fpga_cluster,3,1,12,888545,88854.5,132.09467612782694,114,377,255.741148
fpga_cluster,3,1,16,959869,95986.9,163.6840506360764,149,426,255.32671900000003
fpga_cluster,3,1,24,1076415,107641.5,219.6440768662644,202,566,256.26898900000003
fpga_cluster,3,1,32,1127399,112739.9,279.9563703710931,258,705,253.72392199999996
fpga_cluster,3,1,64,1277984,127798.4,496.5103287678093,471,1127,256.064115
fpga_cluster,3,2,1,267737,26773.7,69.51313042276563,74,141,255.29533800000002
fpga_cluster,3,2,2,495638,49563.8,76.1979630294691,75,194,255.28275100000002
fpga_cluster,3,2,4,741232,74123.2,103.78354820083321,88,304,255.73515600000007
fpga_cluster,3,2,6,866638,86663.8,134.1235129315816,117,368,255.24519100000003
fpga_cluster,3,2,8,942587,94258.7,165.6546101314786,147,460,255.808309
fpga_cluster,3,2,10,1020669,102066.9,191.59444050911705,175,498,255.570267
fpga_cluster,3,2,12,1050789,105078.9,224.00203656490504,203,559,255.870731
fpga_cluster,3,2,16,1144489,114448.9,275.0844883611813,257,668,254.76000300000004
fpga_cluster,3,2,24,1211704,121170.4,391.35530294527376,368,922,256.700446
fpga_cluster,3,2,32,1295358,129535.8,489.0202561762849,461,1108,255.66985500000004
fpga_cluster,3,2,64,1368732,136873.2,929.7645886850019,827,2275,255.343687
fpga_cluster,4,1,1,136641,13664.1,68.12702629518226,74,137,255.83979599999998
fpga_cluster,4,1,2,300686,30068.6,62.80599362790419,52,140,255.68431500000003
fpga_cluster,4,1,4,550557,55055.7,69.51144749771595,59,176,255.37129600000003
fpga_cluster,4,1,6,673500,67350.0,85.87704380103935,72,236,255.548183
fpga_cluster,4,1,8,782458,78245.8,99.24087427056787,80,303,256.096343
fpga_cluster,4,1,10,866968,86696.8,112.40370809533916,90,355,253.42082800000003
fpga_cluster,4,1,12,939524,93952.4,124.85750656715528,100,408,255.89144299999992
fpga_cluster,4,1,16,1036679,103667.9,151.40310645821899,132,433,255.87108300000006
fpga_cluster,4,1,24,1180924,118092.4,200.01509326595107,176,571,255.46221200000002
fpga_cluster,4,1,32,1251947,125194.7,252.2464042008168,222,728,255.39677999999998
fpga_cluster,4,1,64,1455273,145527.3,435.72426135852174,366,1200,256.058879
fpga_cluster,4,2,1,267055,26705.5,69.9612064930445,75,148,252.643776
fpga_cluster,4,2,2,487427,48742.7,77.61419863897568,77,192,253.120317
fpga_cluster,4,2,4,783709,78370.9,98.0247489820839,83,280,253.34916599999997
fpga_cluster,4,2,6,928437,92843.7,125.24453678601779,103,373,255.34625000000003
fpga_cluster,4,2,8,1032465,103246.5,151.07054863845264,127,444,255.483041
fpga_cluster,4,2,10,1118446,111844.6,174.87068933144738,151,522,254.857252
fpga_cluster,4,2,12,1173767,117376.7,200.60731303572175,175,593,255.369801
fpga_cluster,4,2,16,1253830,125383.0,251.12038314604052,226,692,255.16445000000004
fpga_cluster,4,2,24,1400247,140024.7,338.54855821865715,302,911,253.78688499999998
fpga_cluster,4,2,32,1526535,152653.5,414.6994742996394,379,1065,255.123554
fpga_cluster,4,2,64,1638708,163870.8,776.5077170551434,607,2297,252.951977
